Pergunta,Opção 1,Opção 2,Opção 3,Opção 4,Resposta Correta
Qual é o comando para compilar um programa em Go?,go run,go compile,go build,go make,3
Qual palavra-chave define uma função em Go?,func,function,def,fn,1
Como se declara uma variável em Go?,let x int,x := 10,var x = 10,int x = 10,2
Qual comando é usado para importar pacotes em Go?,include,import,using,require,2
Como se inicia o ponto de entrada de um programa Go?,main(),start(),func main(),init(),3
Qual é o tipo de dado para números inteiros em Go?,int,integer,num,i32,1
Como declarar um array em Go?,arr := []int{},arr := array{},arr := int[],arr = [int],1
Qual é o gerenciador de pacotes padrão do Go?,npm,pip,go mod,cargo,3
Qual comando é usado para baixar dependências em Go?,go get,go install,go fetch,go download,1
Como declarar uma estrutura em Go?,class,object,struct,record,3
Como se chama um ponteiro em Go?,*,&,ptr,^,1
Como se faz um loop em Go?,loop,repeat,for,while,3
Como se cria uma interface em Go?,interface {},type Interface {},type Name interface {},define interface,3
Go é uma linguagem tipada?,Não,Sim,Parcialmente,Apenas com bibliotecas,2
Qual é a palavra-chave para retornar de uma função em Go?,end,return,exit,stop,2
Como se trata erros em Go?,try/catch,throw,if err != nil,except,3
Go é uma linguagem:,Interpretada,Compilada,Script,Bytecode,2
Como definir um mapa em Go?,map{},[]map,map[string]int{},map(){},3
Qual é o comando para formatar código Go automaticamente?,go tidy,go format,go fmt,go style,3
O que significa goroutine em Go?,Erro,Loop,Thread leve,Variável global,3
Como iniciar uma goroutine?,go.func(),go func(),start func(),new thread(),2
O que são canais em Go?,Tipos de variáveis,Formas de comunicação entre goroutines,Modificadores,Constantes,2
Qual comando verifica o ambiente de desenvolvimento Go?,go check,go env,go verify,go test,2
Qual comando roda os testes em Go?,go run test,go check,go test,go verify,3
O que faz o comando 'go run'?,Compila o código,Executa diretamente o código,Gera binário,Baixa dependências,2
Qual o símbolo de exportação de nomes em Go?,_,$,^,Letra maiúscula inicial,4
Go foi criado por qual empresa?,Microsoft,Google,Apple,Amazon,2
Go é mais conhecido por sua performance em que área?,Web Design,Data Science,Sistemas concorrentes,Design Gráfico,3
Qual o tipo usado para valores booleanos em Go?,bool,boolean,bit,truefalse,1
Qual é a extensão padrão de arquivos Go?,.golang,.go,.g,.gl,2
